split,mean_predicted,observed_rate,absolute_error
Validation,0.010170688413993267,0.0006842619745845552,0.009486426439408712
Validation,0.14758358248983264,0.028023598820058997,0.11955998366977363
Validation,0.24777790756354653,0.02702702702702703,0.2207508805365195
Validation,0.34668187430135894,0.05,0.29668187430135895
Validation,0.4484341673404473,0.10416666666666667,0.3442675006737806
Validation,0.5512648525487801,0.11643835616438356,0.4348264963843965
Validation,0.6509120990794328,0.1976284584980237,0.45328364058140913
Validation,0.7531468075258536,0.28378378378378377,0.46936302374206984
Validation,0.8522087016071699,0.35511363636363635,0.49709506524353353
Validation,0.9255225268149402,0.37777777777777777,0.5477447490371624
Test,0.010381119986671022,0.000554016620498615,0.009827103366172407
Test,0.145380809697013,0.02159468438538206,0.12378612531163094
Test,0.24622220201480158,0.05319148936170213,0.19303071265309946
Test,0.3499764394142691,0.08450704225352113,0.26546939716074797
Test,0.4482437860795787,0.13026819923371646,0.31797558684586225
Test,0.5474946819867593,0.1796875,0.3678071819867593
Test,0.6519269455571145,0.19413919413919414,0.4577877514179204
Test,0.7503006623485339,0.25660377358490566,0.4936968887636282
Test,0.8408716138501499,0.24848484848484848,0.5923867653653014
Test,0.9192534855698554,0.42105263157894735,0.4982008539909081
