threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_positive
0.1,0.14455128205128207,0.9847161572052402,0.2520961430967021,10223,2669,7,451,3120
0.15,0.16261343012704174,0.9781659388646288,0.2788671023965142,10585,2307,10,448,2755
0.2,0.1769041769041769,0.9432314410480349,0.2979310344827586,10882,2010,26,432,2442
0.25,0.19326966803092316,0.9279475982532751,0.31990967256304104,11118,1774,33,425,2199
0.3,0.21021021021021022,0.9170305676855895,0.34201954397394135,11314,1578,38,420,1998
0.35,0.22719734660033167,0.8973799126637555,0.3625937362152625,11494,1398,47,411,1809
0.4,0.24306393244873342,0.8799126637554585,0.3809073724007561,11637,1255,55,403,1658
0.45,0.2532722513089005,0.8449781659388647,0.38972809667673713,11751,1141,71,387,1528
0.5,0.26657263751763044,0.8253275109170306,0.40298507462686567,11852,1040,80,378,1418
0.55,0.2844759653270292,0.7882096069868996,0.4180660104226983,11984,908,97,361,1269
0.6,0.30550621669627,0.7510917030567685,0.43434343434343436,12110,782,114,344,1126
0.65,0.3201189296333003,0.7052401746724891,0.4403544648943422,12206,686,135,323,1009
0.7,0.33676975945017185,0.6419213973799127,0.4417731029301277,12313,579,164,294,873
0.75,0.35945945945945945,0.5807860262008734,0.44407345575959933,12418,474,192,266,740
0.8,0.36395147313691506,0.4585152838427948,0.4057971014492754,12525,367,248,210,577
