split,seed,target,validation_roc_auc,validation_pr_auc,test_roc_auc,test_pr_auc
1,42,flare_risk,0.9415271739321991,0.7899055373487169,0.9208779325027212,0.7193846370591106
1,42,dizziness_risk,0.7639838526307097,0.530407551574201,0.7127625549756698,0.48634854887225526
1,42,fatigue_risk,0.7529520724847749,0.594268801982331,0.7140891742036722,0.5666245114227222
1,42,fainting_risk,0.952456890770079,0.33303082985288196,0.9512116393121598,0.25371583387083746
1,42,need_to_hydrate,0.9145908826597842,0.8096096017400106,0.8924808250444339,0.7590872799565854
1,42,need_to_rest,0.8760055197682914,0.7815103254320316,0.836676195220679,0.7412515295263888
2,123,flare_risk,0.9195127669876018,0.6974681858977703,0.8886101358042134,0.6926631759025988
2,123,dizziness_risk,0.7018641418237985,0.45909748850065524,0.6884814530332121,0.48543252499650436
2,123,fatigue_risk,0.6993709327358492,0.5422733662829401,0.6918583019302571,0.5652004167755774
2,123,fainting_risk,0.9482946143746807,0.22270156556137832,0.9202291715010793,0.176743400867999
2,123,need_to_hydrate,0.8818151415206558,0.7339745622273534,0.8627930931920581,0.7437818660902579
2,123,need_to_rest,0.8330688593449289,0.7273499000806817,0.8138435543473059,0.7495707903211031
3,456,flare_risk,0.9285080229443072,0.7572982446411708,0.9462685437951204,0.7506798761833761
3,456,dizziness_risk,0.7384787959841967,0.5110414860748475,0.739249752039944,0.49239640601313983
3,456,fatigue_risk,0.7391073417214018,0.5951229691285773,0.7261226076079628,0.5624177093255617
3,456,fainting_risk,0.9415531664244138,0.2777633319057791,0.9538806396856394,0.3038013849759849
3,456,need_to_hydrate,0.9036878287734142,0.7783076032432729,0.904462909840823,0.7718966522150951
3,456,need_to_rest,0.8625067484662576,0.7760773362256734,0.8645053051764752,0.7470538455668128
4,789,flare_risk,0.9073798433205328,0.6830248184523433,0.9260816875894092,0.7156857216733887
4,789,dizziness_risk,0.691632915063245,0.462863617926843,0.7298637583419783,0.4963983190708967
4,789,fatigue_risk,0.697588630732029,0.542227056576724,0.7199770883948089,0.5617886761390503
4,789,fainting_risk,0.9275097557284273,0.17133361917559226,0.9613766977841306,0.30043100472118117
4,789,need_to_hydrate,0.8454234988834602,0.7193635870459405,0.9066466922384137,0.7523938077315283
4,789,need_to_rest,0.819536080242508,0.724104708443105,0.8520964781970355,0.7450999393045076
5,1000,flare_risk,0.9370774228904379,0.7137000567287928,0.9262875070786484,0.6807200028396784
5,1000,dizziness_risk,0.7276749602390222,0.4554177501410059,0.7169980993573486,0.45370383820216476
5,1000,fatigue_risk,0.7137637254765765,0.5336797926002625,0.7197080473125801,0.5405112004340266
5,1000,fainting_risk,0.9527145582200273,0.26045080567032014,0.9537627268375988,0.2305325255237968
5,1000,need_to_hydrate,0.895217396938736,0.7365033284094542,0.8746182537231655,0.6933090308696245
5,1000,need_to_rest,0.8491995961988014,0.7063937206100273,0.8489268024900263,0.7234005376448982
