repeat,split_seed,target,train_participants,validation_participants,test_participants,validation_threshold,validation_precision,validation_recall,validation_f1,test_precision,test_recall,test_f1
1,42,flare_risk,350,75,75,0.55,0.6405652045922873,0.8314864348490638,0.7236448287329564,0.6006430868167203,0.7584246853430775,0.6703750224295711
1,42,dizziness_risk,350,75,75,0.45,0.4612409347300564,0.7577442414614773,0.5734321779202565,0.4297712134375905,0.7372081470442127,0.5429930479326747
1,42,fatigue_risk,350,75,75,0.4,0.5155661035878821,0.7923192447972538,0.6246617050067659,0.4958369578724991,0.7984790874524715,0.6117755289788408
1,42,fainting_risk,350,75,75,0.75,0.35945945945945945,0.5807860262008734,0.44407345575959933,0.2831858407079646,0.29906542056074764,0.2909090909090909
1,42,need_to_hydrate,350,75,75,0.55,0.6865421455938697,0.7792878499592281,0.7299809038828772,0.6616635397123202,0.7848664688427299,0.7180183237190363
1,42,need_to_rest,350,75,75,0.45,0.6527844263603,0.8484031522189963,0.7378483181531247,0.6211171066063876,0.8287604592333139,0.7100700233411137
2,43,flare_risk,350,75,75,0.6,0.6541814659347756,0.7579498690609802,0.7022530329289428,0.6049069373942471,0.7255200405885337,0.6597462514417531
2,43,dizziness_risk,350,75,75,0.4,0.43341307814992025,0.7880618656355728,0.5592522723375064,0.4034074501876985,0.7741756719312829,0.5304224015187471
2,43,fatigue_risk,350,75,75,0.45,0.5328330206378987,0.7181482201906244,0.611764705882353,0.49657427592650266,0.7083518436250555,0.583852068839253
2,43,fainting_risk,350,75,75,0.55,0.25828460038986356,0.6883116883116883,0.3756201275690999,0.2530612244897959,0.7380952380952381,0.3768996960486322
2,43,need_to_hydrate,350,75,75,0.45,0.607539193235864,0.8707397121938905,0.7157086532475617,0.5937227550130776,0.8272092317036137,0.6912828321279025
2,43,need_to_rest,350,75,75,0.45,0.6403185370889249,0.8319601456217666,0.7236666666666667,0.6099162699064193,0.8155872667398463,0.6979147097501409
3,44,flare_risk,350,75,75,0.6,0.6314353903852711,0.7528455284552845,0.6868162432783238,0.6600915815427968,0.7750206782464847,0.7129541563629447
3,44,dizziness_risk,350,75,75,0.45,0.4410513521725919,0.7266583229036295,0.5489269168951498,0.449896447347459,0.7415966386554622,0.560039662865642
3,44,fatigue_risk,350,75,75,0.4,0.5036764705882353,0.7730753728335349,0.6099538877404993,0.5007644197359278,0.764319049639372,0.6050885884625073
3,44,fainting_risk,350,75,75,0.7,0.30092592592592593,0.5603448275862069,0.39156626506024095,0.33448275862068966,0.5159574468085106,0.40585774058577406
3,44,need_to_hydrate,350,75,75,0.55,0.6584734799482536,0.7749302207561533,0.7119710922018884,0.6473546130301705,0.7643262777490966,0.7009943181818182
3,44,need_to_rest,350,75,75,0.45,0.6347161899056463,0.8313063946645743,0.7198301486199575,0.6361017762842055,0.8231517912611307,0.7176385629174942
4,45,flare_risk,350,75,75,0.65,0.669034684496448,0.7231255645889793,0.6950293032342089,0.7010596765197992,0.765296803652968,0.731771212341726
4,45,dizziness_risk,350,75,75,0.45,0.4451390031255141,0.7345276872964169,0.5543378060022534,0.4805869367614595,0.8080786026200873,0.6027196482371142
4,45,fatigue_risk,350,75,75,0.4,0.48728151200795794,0.7604790419161677,0.593971938333622,0.5232101616628175,0.8365952732644018,0.6437908496732027
4,45,fainting_risk,350,75,75,0.65,0.32006125574272587,0.59375,0.41592039800995023,0.25765907305577374,0.5694444444444444,0.3547863710113575
4,45,need_to_hydrate,350,75,75,0.5,0.6458610004426738,0.8038567493112948,0.7162493863524791,0.6772932330827067,0.8778015981290197,0.7646209999151176
4,45,need_to_rest,350,75,75,0.45,0.6210840377921432,0.8175867335806241,0.7059155990957046,0.6657519926826081,0.8742278654770076,0.7558786440175062
5,46,flare_risk,350,75,75,0.55,0.634480454393585,0.8002528445006322,0.7077897875512486,0.5553335996803835,0.718717683557394,0.6265494703628578
5,46,dizziness_risk,350,75,75,0.4,0.42387927208166887,0.7547418335089568,0.5428706774040739,0.390667623833453,0.7529053680132817,0.5144153511674071
5,46,fatigue_risk,350,75,75,0.4,0.5103320507339318,0.7609434764130897,0.6109357672950609,0.45622636223560725,0.7442870201096892,0.5656969170646983
5,46,fainting_risk,350,75,75,0.6,0.27602905569007263,0.6129032258064516,0.3806343906510851,0.20603015075376885,0.47398843930635837,0.287215411558669
5,46,need_to_hydrate,350,75,75,0.5,0.6295674086518269,0.7870832239432922,0.6995683117489208,0.5578421578421578,0.7678767876787679,0.6462215021409559
5,46,need_to_rest,350,75,75,0.45,0.6398199099549775,0.8060924369747899,0.7133959282327786,0.5960955907101986,0.7817258883248731,0.6764059963716222
