feature,importance,target
symptom_7day_mean,0.15279416460389178,dizziness_risk
symptom_3day_mean,0.11280711851326562,dizziness_risk
previous_symptom_severity,0.07098222238411862,dizziness_risk
hrv_7day_mean,0.033332282079736326,dizziness_risk
hrv_3day_mean,0.029391163664197043,dizziness_risk
symptom_7day_std,0.027342621447398567,dizziness_risk
water_intake_ml,0.026786548528866083,dizziness_risk
sleep_7day_std,0.026061616015383506,dizziness_risk
hrv_7day_std,0.026051607183551328,dizziness_risk
water_7day_std,0.025994242179979796,dizziness_risk
water_3day_std,0.025822411774090184,dizziness_risk
water_7day_mean,0.025294852467382074,dizziness_risk
previous_water_intake_ml,0.025229174753998825,dizziness_risk
water_3day_mean,0.02503878662650003,dizziness_risk
hydration_deficit,0.024343367521212127,dizziness_risk
hrv_3day_std,0.023871572409534872,dizziness_risk
hrv,0.02386799316225678,dizziness_risk
previous_hrv,0.02299536161555932,dizziness_risk
sleep_3day_std,0.022793453237510128,dizziness_risk
symptom_3day_std,0.02204868041426963,dizziness_risk
sleep_3day_mean,0.021431286648100144,dizziness_risk
sleep_7day_mean,0.021294767534618994,dizziness_risk
sleep_deficit,0.021291342340194985,dizziness_risk
previous_resting_hr,0.020907468992185926,dizziness_risk
resting_hr,0.02081338352155728,dizziness_risk
symptom_change,0.020775188504483358,dizziness_risk
hrv_change,0.01968251837887339,dizziness_risk
sleep_hours,0.019376969848967463,dizziness_risk
resting_hr_change,0.018776490139108735,dizziness_risk
previous_sleep_hours,0.018281201948082734,dizziness_risk
activity_level,0.01252211153594153,dizziness_risk
stress_level,0.011998030025182937,dizziness_risk
symptom_7day_mean,0.16164220497179968,fatigue_risk
symptom_3day_mean,0.1185325169679837,fatigue_risk
previous_symptom_severity,0.07372338107993599,fatigue_risk
hrv_7day_mean,0.028992335133554044,fatigue_risk
symptom_7day_std,0.02769959250460556,fatigue_risk
sleep_7day_std,0.026830190676868787,fatigue_risk
water_7day_std,0.02679320764953319,fatigue_risk
hrv_7day_std,0.026290987383144535,fatigue_risk
water_3day_std,0.025971852431835175,fatigue_risk
water_intake_ml,0.025639415351488816,fatigue_risk
hrv_3day_mean,0.024981787035381623,fatigue_risk
previous_water_intake_ml,0.024505915860197534,fatigue_risk
water_3day_mean,0.02429448698253422,fatigue_risk
hrv_3day_std,0.02377825558407789,fatigue_risk
sleep_3day_std,0.0236426795178982,fatigue_risk
water_7day_mean,0.023624486925066124,fatigue_risk
hydration_deficit,0.023401426995582075,fatigue_risk
symptom_3day_std,0.022216576944811356,fatigue_risk
symptom_change,0.022001225971391845,fatigue_risk
sleep_deficit,0.021170518950470233,fatigue_risk
resting_hr,0.020952836577018807,fatigue_risk
previous_resting_hr,0.020947246130667004,fatigue_risk
hrv,0.020933456349811325,fatigue_risk
sleep_7day_mean,0.02086008631548285,fatigue_risk
sleep_3day_mean,0.02052429479662198,fatigue_risk
previous_hrv,0.020277886080197368,fatigue_risk
hrv_change,0.019654345581703134,fatigue_risk
sleep_hours,0.01914034095821199,fatigue_risk
resting_hr_change,0.01821547736826335,fatigue_risk
previous_sleep_hours,0.01820898949115088,fatigue_risk
activity_level,0.012684123118498473,fatigue_risk
stress_level,0.011867872314212317,fatigue_risk
symptom_3day_mean,0.20194595045300948,fainting_risk
symptom_7day_mean,0.1628945363336158,fainting_risk
previous_symptom_severity,0.1573341305220596,fainting_risk
hrv_7day_mean,0.07581017887365421,fainting_risk
hrv,0.061719692286629796,fainting_risk
hrv_3day_mean,0.06102945441118728,fainting_risk
previous_hrv,0.04605585713281622,fainting_risk
symptom_change,0.04371812156362279,fainting_risk
hrv_change,0.010117892900932502,fainting_risk
hrv_7day_std,0.009838647910610052,fainting_risk
stress_level,0.009670491890417908,fainting_risk
water_intake_ml,0.009184435367914481,fainting_risk
water_7day_mean,0.009148967520400456,fainting_risk
water_7day_std,0.008713485397761778,fainting_risk
resting_hr,0.008694730230299132,fainting_risk
water_3day_std,0.00864706568842103,fainting_risk
previous_resting_hr,0.00859729500768419,fainting_risk
symptom_7day_std,0.008584410070490883,fainting_risk
hydration_deficit,0.008542467001143424,fainting_risk
symptom_3day_std,0.008142115027954543,fainting_risk
water_3day_mean,0.008088617711343877,fainting_risk
sleep_7day_std,0.008038755051317108,fainting_risk
sleep_3day_std,0.007866400382552692,fainting_risk
previous_water_intake_ml,0.0077222202020968,fainting_risk
hrv_3day_std,0.007331787416395204,fainting_risk
resting_hr_change,0.007322265436380434,fainting_risk
sleep_hours,0.006571315640698483,fainting_risk
sleep_3day_mean,0.006385178648825005,fainting_risk
sleep_7day_mean,0.006257780001879488,fainting_risk
sleep_deficit,0.006165147774035194,fainting_risk
previous_sleep_hours,0.005676237667662476,fainting_risk
activity_level,0.004184368476187634,fainting_risk
