target,name,n_estimators,max_depth,min_samples_leaf,class_weight,precision,recall,f1,roc_auc,pr_auc
dizziness_risk,baseline,300,16,5,balanced,0.4824817518248175,0.7000264760391846,0.571243383385546,0.7639838526307097,0.530407551574201
dizziness_risk,deeper,300,20,5,balanced,0.49216785921485207,0.673815197246492,0.5688421993741618,0.7642436071068625,0.530250212364574
dizziness_risk,more_trees,500,16,5,balanced,0.4817384952520088,0.6984379136881123,0.5701934507727223,0.764392512355969,0.5318394167761111
dizziness_risk,smaller_leaf,300,16,3,balanced,0.48527767424524787,0.6894360603653693,0.5696160997484414,0.7633416572584493,0.5284541525739785
dizziness_risk,larger_leaf,300,16,8,balanced,0.4808073526761579,0.7063807254434736,0.5721638430195153,0.7646090112954201,0.5315450384593764
dizziness_risk,no_class_weight,300,16,5,,0.6066666666666667,0.2891183478951549,0.3916083916083916,0.7639779616912484,0.5319160809475117
fatigue_risk,baseline,300,16,5,balanced,0.5547221275144902,0.6981334477579918,0.6182198157119787,0.7529520724847749,0.594268801982331
fatigue_risk,deeper,300,20,5,balanced,0.5602112676056338,0.6826861188586141,0.6154143699835606,0.7526843403150203,0.5947374148343002
fatigue_risk,more_trees,500,16,5,balanced,0.5551948051948052,0.6970607165844239,0.6180918862360887,0.7533103244492656,0.5948879131395595
fatigue_risk,smaller_leaf,300,16,3,balanced,0.5566867989646247,0.6921261531860116,0.617061973986228,0.7526627350721414,0.5936765896393604
fatigue_risk,larger_leaf,300,16,8,balanced,0.555839291794348,0.7004934563398413,0.6198386331276696,0.7529063928284025,0.5948243461247297
fatigue_risk,no_class_weight,300,16,5,,0.6102941176470589,0.49860544947436175,0.5488251269335223,0.7527510819967363,0.5964350002452669
